Sources MOC,20220923162932
Cobwebs into Cables,20220825023735
Progressive Ideation,20220829190708
Evergreen notes compound in value over time,20220829215553
Habits MOC - Gather,20220813003331
Using the thesaurus to generate ideas,20220829214050
BOAT notes,20220831182520
Collective Intelligence,20220829235846
Small Wins foster a Sense of Control,20220829214146
Refraction Thinking,20220828191633
What are higher-order notes,20220829221818
sound sensory sensitivity,20220831003751
Levels of Magnification,20220828194300
Forcing Function,20220724180730
The forest entrance,20220923163129
Flow Map,20220830000643
Mihaly Csikszentmihalyi (kit),20220825014351
Evergreen notes (defn),20220829194749
MOCs Overview,20220828225447
Obsidian Flight School,20220829183949
OODA Loop,20220829215622
LYT Notes 4 (Example),20220831005526
Lindy Effect,20220829194139
LYT Notes 3 (Example),20220831005500
The Home note vs The MOC Library,20220829220548
Cause and Effect,20220724182056
Sensemaking happens by triangulation,20220831180833
Framing,20220831003425
LYT Space (kit),20220829214529
Resiliency Routines help regain a sense of control,20220829190610
In what ways can we form useful relationships between notes,20220831182439
Fluid Frameworks,20220809192042
We chronically underestimate how long something takes,20220830023308
Inbox,20220923162815
Health MOC,20220829214300
Journaling in the morning is an important habit,20220829194245
Reps,20220829214150
"The 3 Phases of MOCs, a coda",20220829214605
Evergreen notes maximize reusability,20220506181625
Figuring out your Home MOCs,20220510005642
"Strong opinions, weakly held",20220829215637
Psychology MOC (kit),20220829214535
LYT Notes 2 (Example),20220831005437
Conditions of Flow,20220829222129
Fluid Taxonomies,20220829214028
LYT Notes 5 (Example),20220831005554
2009 - Analogy as Core - Hofstadter (talk),20220831002647
The big differences between efforts and projects,20220903012203
FlowCreation MOC,20220825014354
LYT FAQ,20220905191607
Note-making sharpens your thinking,20220506061404
Bottom-up thinking,20220627023753
Mountain Top Water Drop,20220829221904
Habits MOC,20220905183035
How ideas and efforts play nicely together,20220913015201
Linking your thinking encourages leaps of insights,20220506063731
The Riddle of Two Paths (kit),20220829183218
Defining a habit,20220706191536
Meta-Skills for Flowcreation,20220505230938
Note-makers,20220829190822
Sense of Control,20220506014852
150 - The Almagest,20220829225600
MOCs are both workbenches and maps,20220813004739
The Riddle IS the Answer (kit),20220829180121
Idea Emergence (defn),20220829215412
LYT Kit Release Notes,20220902001106
What can we learn from nerdy discussions on MOCs,20220831194508
Guiding Values of PKM,20220511235144
Outbox,20220912221804
Evergreen notes are things or statements about things,20220831202419
LYT Mode Theme,20220831004307
Exploring Wim Hof's Breath Manipulation (kit),20220829194733
Notebox,20220829214459
Like begets like,20220829215344
+ About Cards,20220923162426
Sense-making sessions,20220506040748
+ About Sources,20220825083315
Rubik's Cube,20220512053748
FlowCreation Theory,20220830000742
Direction (re Flow),20220512052444
The 3 Phases of MOCs,20220510005258
MOCs (defn),20220506040841
Synthesis,20220829214107
1993 - Groundhog Day (kit),20220829225521
Fluid Thinking,20220829230917
Dimensions of Reality,20220825051121
Shadow Clone,20220503190814
Antifragility,20220829222053
evaporated in a thousand follies'',20220829224910
Is LYT For Me,20220825052248
Survival of the Fittest,20220829211504
Meta PKM,20220829214451
"Template, Meeting (kit)",20220825050906
1962 - Sinnerman (song),20220829225628
Being able to adapt is an important habit,20220829195102
Aikido,20220829195201
Ptolemy (kit),20220829214505
Set Up Your Home Note,20220831004340
1844 - The Count of Monte Cristo (book),20220829225451
Wu wei,20220506055539
Divergence (defn),20220807025816
Gall's Law,20220829220459
The mechanism for breaking through development plateaus,20220829211533
Folgezettel - 100a.1 Showing How Folgezettel Works,20220831003316
Thought Collisions,20220828192413
Note-making creates unexpected optionality,20220829214521
LYT Framework,20220809192042
The 5 Decade Rule,20220911002832
Evergreen notes,20220828192537
Heterarchy,20220717193545
Why Categories for Your Notes are a Good Idea,20220813004859
Vulnerability,20220830023300
The LYT Workshop,20220831165805
Habits MOC - Collide,20220813003331
Note-making is about the pursuit of truth,20220813001201
Assembling a random article on habits,20220617184828
Solutions to Flow Stoppers,20220829213329
Hormesis,20220829214423
Nina Simone (kit),20220830002242
Concept Expansion,20220829215321
Yin and Yang,20220505010104
Writing down daily goals in the morning is an important habit,20220829180157
LYT Glossary,20220907043756
Preparing for the next day is an important habit,20220829190751
"Template, Note (kit)",20220829005943
"An asymptotic curve models the development of skills, strength, habits, and more",20220830175246
Improving Micro Habits at the Point of Contact,20220829194406
Folgezettel - 100b.1 And Long-term Rigidity,20220905000429
"It's circular but true, we become what we do",20220903011423
+ About Extras,20220830175524
Home,20220913025516
+ About Encounters,20220830175345
Benefits of LYT frameworks,20220821051241
Practical Tactics for Finding Flow,20220505230950
Library,20220829214515
The neural formation of habits is additive - v1,20220617184828
People's attributes are domain-specific,20220830023035
2010 - Willpower - Robinson et al (paper),20220902030423
Newton's Laws of Motion,20220829214455
K. Anders Ericsson (kit),20220825014254
On the process of note-making,20220905000723
Carl Sagan (kit),20220909053959
Cabin,20220828213435
Folgezettel - 100a.1b Adds certain things...,20220813005719
Emergence (defn),20220627023753
Folgezettel - 100a.2 Adds Upfront Friction,20220813005714
My Virtues (starter),20220829170530
Ask Gandalf for assistance.,20220903011623
Guiding assumptions for linked notes,20220905191501
Enthusiasm (re Flow),20220505230700
Charting out habit cycles in my life circa 2013,20220829195023
In case of a focus emergency,20220506182530
Future-proofed,20220831003500
2015 - Between the World and Me (book),20220829225152
Cybertron Theme,20220829214012
The truest habit metaphors are additive,20220829183155
Convergence (defn),20220627023753
1949 - 1984 (book),20220829223102
Trust the process (kit),20220829183036
Art of Link Curation,20220813001146
Important habits preserve mental clarity and a sense of control,20220829194444
About LYT,20220902013835
Deploy Spaces with the MAPS folder structure,20220829194806
Ant pheromone trails act like potential habits,20220503185808
Mary Wollstonecraft (kit),20220825014137
Plan and Review,20220831004201
Commonplace Book,20220829213945
MOCs encourage flexible non-destructive thinking,20220702022505
My Newsletter MOC,20220831165839
Four Virtues,20220829194634
Cassandra,20220829212613
"Without the Odyssey, there is no Ulysses",20220831005722
How Atomic Habits fit into the conversation on habits,20220830001621
Chunking,20220829213940
Plato's Cave,20220829214358
Douglas R. Hofstadter,20220813003302
Method of Loci,20220825050256
Munger's Mental Models,20220824213329
Mental Squeeze Point,20220627045431
Data view notes (defn),20220831002818
Habit formation provides an evolutionary advantage,20220829194545
Should I have an Articles folder under Sources,20220910010107
Evergreen notes are antifragile,20220830001109
MOCs are Dialectics,20220829214510
Feedback Loop,20220617184836
